"Historical price chart data"
"Date: 01/01/2016 - 02/09/2016"
"AEX-INDEX"
"ISIN","MIC","Date","Open","High","Low","Close","Number of Shares","Number of Trades","Turnover","Currency"
"NL0000000107","Euronext Amsterdam","04/01/2016","436.97","436.97","427.22","431.70","0.00","0.00","1644294404.67","EUR"
"NL0000000107","Euronext Amsterdam","05/01/2016","436.14","436.72","428.69","435.00","0.00","0.00","1375714186.16","EUR"
"NL0000000107","Euronext Amsterdam","06/01/2016","433.65","433.95","424.64","428.76","0.00","0.00","1464540619.02","EUR"
"NL0000000107","Euronext Amsterdam","07/01/2016","417.34","423.29","411.97","420.76","0.00","0.00","2062030638.25","EUR"
"NL0000000107","Euronext Amsterdam","08/01/2016","421.22","423.06","410.82","410.82","0.00","0.00","1894638500.01","EUR"
"NL0000000107","Euronext Amsterdam","11/01/2016","410.71","415.87","409.08","411.31","0.00","0.00","1642115484.10","EUR"
"NL0000000107","Euronext Amsterdam","12/01/2016","411.30","420.84","410.09","416.41","0.00","0.00","1726232938.22","EUR"
"NL0000000107","Euronext Amsterdam","13/01/2016","421.02","425.91","416.29","418.05","0.00","0.00","1696858180.18","EUR"
"NL0000000107","Euronext Amsterdam","14/01/2016","413.63","416.77","404.58","413.38","0.00","0.00","1978352280.19","EUR"
"NL0000000107","Euronext Amsterdam","15/01/2016","411.40","414.20","399.88","403.57","0.00","0.00","2533885979.93","EUR"
"NL0000000107","Euronext Amsterdam","18/01/2016","402.31","407.95","398.71","401.99","0.00","0.00","1404889555.28","EUR"
"NL0000000107","Euronext Amsterdam","19/01/2016","410.05","411.95","406.27","407.68","0.00","0.00","1610168643.29","EUR"
"NL0000000107","Euronext Amsterdam","20/01/2016","399.10","400.65","392.44","395.72","0.00","0.00","2149146685.04","EUR"
"NL0000000107","Euronext Amsterdam","21/01/2016","397.52","407.81","396.36","406.49","0.00","0.00","2432213314.18","EUR"
"NL0000000107","Euronext Amsterdam","22/01/2016","414.59","422.18","412.88","419.28","0.00","0.00","2168871001.50","EUR"
"NL0000000107","Euronext Amsterdam","25/01/2016","422.56","422.56","415.66","418.07","0.00","0.00","1451747285.49","EUR"
"NL0000000107","Euronext Amsterdam","26/01/2016","411.62","422.74","410.01","421.97","0.00","0.00","1927989709.59","EUR"
